Date,Actual,Predicted
2025-12-27,0.0,0.0008452416937083973
2025-12-28,0.0,0.0008524650668842805
2025-12-29,0.0,0.0726104456432766
2025-12-30,0.0,0.06957642823011416
2025-12-31,0.0,0.07283308853780605
2026-01-01,0.5221888333333333,0.35256390022013406
2026-01-02,0.5550170860215053,0.47241506688177676
2026-01-03,0.3081235268817204,0.4287414481674907
2026-01-04,0.3602494301075269,0.39916368235074345
2026-01-05,2.486350822580645,7.013417838600104
2026-01-06,0.09677346774193549,0.2822849840627797
2026-01-07,0.09146846774193547,0.23970222928345497
2026-01-08,0.11082030913978494,0.23903420295329603
2026-01-09,0.11957070698924731,0.23920932021343672
2026-01-10,0.027916849462365587,0.20674029099593774
2026-01-11,0.05055436827956989,0.2053407397209729
2026-01-12,0.03957644086021504,0.19304944793788711
2026-01-13,0.12392023655913977,0.23513251827615464
2026-01-14,0.041684180107526884,0.20603595486153156
2026-01-15,0.0295340188172043,0.14150084760041134
2026-01-16,0.07927552419354839,0.16153052864602999
2026-01-17,0.03953936290322581,0.13180962132088464
2026-01-18,0.2730021451612903,0.254949791408312
2026-01-19,0.1875488629032258,0.24267750874448615
2026-01-20,0.10295407795698924,0.17531212097212784
2026-01-21,0.12939066129032256,0.18171020970594817
2026-01-22,0.37449021774193547,0.25883745944778486
2026-01-23,0.3265170456989247,0.30599273689359124
2026-01-24,0.4423599919354839,0.3374309682074504
2026-01-25,0.2223137258064516,0.2678218473012882
2026-01-26,0.29098495430107524,0.29235573065887915
2026-01-27,0.21946727956989248,0.25670618414802326
2026-01-28,0.2693799139784946,0.2949646597474043
2026-01-29,0.24596090591397846,0.25779473469441966
2026-01-30,0.09105205376344086,0.16816991823718216
2026-01-31,0.10342753494623655,0.13526476266210388
2026-02-01,0.37831247767857146,0.20521541487335523
2026-02-02,0.20992226339285713,0.21056480119692023
2026-02-03,0.2471004285714286,0.21202214630692168
2026-02-04,0.07875525446428573,0.15371685000716478
2026-02-05,0.21643807589285716,0.17853173998953753
2026-02-06,0.18002058928571427,0.1938535913001458
2026-02-07,0.08283389285714285,0.157936814015062
2026-02-08,0.05784660267857143,0.12265391122536329
2026-02-09,0.39120898214285715,0.22589863519749684
2026-02-10,0.18422433928571427,0.20184075360664527
2026-02-11,0.2225084910714286,0.20755085601575188
2026-02-12,0.1974661517857143,0.20658249232636472
2026-02-13,0.24596941964285715,0.21495252363461262
2026-02-14,0.15688495089285714,0.19008954528252872
2026-02-15,0.18874837500000005,0.1877437436223328
2026-02-16,0.17888958035714284,0.16192942790148798
2026-02-17,0.15322668750000001,0.15272166905055723
2026-02-18,0.28146608482142854,0.185130318129486
2026-02-19,0.796905888392857,0.38619386441412396
2026-02-20,0.61287171875,0.33882121168939855
2026-02-21,0.47951275446428576,0.305951287997403
2026-02-22,0.15419755357142859,0.16648871647247662
2026-02-23,0.3106871517857142,0.1784429073762311
2026-02-24,0.26210381250000003,0.18504148192271083
2026-02-25,0.041061629464285716,0.1091403210879142
2026-02-26,0.02971650892857143,0.0864507808406426
2026-02-27,0.31041190625000004,0.15990241692691837
2026-02-28,0.9041065178571428,0.3649407361527637
